Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.101096,8.47169,-14.3677,-18.4393
0.0353863,3.5066,-13.3747,-18.4393
0.0424821,4.49962,-13.3747,-18.4393
0.0407395,5.49264,-13.3747,-18.4393
0.0998995,8.47169,-13.3747,-18.4393
0.0617721,3.5066,-12.3817,-18.4393
0.0665699,4.49962,-12.3817,-18.4393
0.105906,8.47169,-12.3817,-18.4393
0.104602,8.47169,-11.3887,-18.4393
0.133756,8.47169,-15.3608,-17.4462
0.100529,7.47868,-14.3677,-17.4462
0.170469,8.47169,-14.3677,-17.4462
0.174678,9.46471,-14.3677,-17.4462
0.0376032,2.51358,-13.3747,-17.4462
0.0817315,3.5066,-13.3747,-17.4462
0.0623022,4.49962,-13.3747,-17.4462
0.0703172,5.49264,-13.3747,-17.4462
0.0660351,6.48566,-13.3747,-17.4462
0.112329,7.47868,-13.3747,-17.4462
0.183029,8.47169,-13.3747,-17.4462
0.195477,9.46471,-13.3747,-17.4462
0.0579444,2.51358,-12.3817,-17.4462
0.0785848,3.5066,-12.3817,-17.4462
0.0428693,4.49962,-12.3817,-17.4462
0.05906,5.49264,-12.3817,-17.4462
0.119145,7.47868,-12.3817,-17.4462
0.203965,8.47169,-12.3817,-17.4462
0.228538,9.46471,-12.3817,-17.4462
0.214715,8.47169,-11.3887,-17.4462
0.222865,8.47169,-10.3957,-17.4462
0.0758495,7.47868,-9.40265,-17.4462
0.108963,7.47868,-16.3538,-16.4532
0.0934437,8.47169,-16.3538,-16.4532
0.119554,-2.45152,-15.3608,-16.4532
0.113675,7.47868,-15.3608,-16.4532
0.149068,8.47169,-15.3608,-16.4532
0.155557,9.46471,-15.3608,-16.4532
0.0966743,6.48566,-14.3677,-16.4532
0.122165,7.47868,-14.3677,-16.4532
0.176352,8.47169,-14.3677,-16.4532
0.18464,9.46471,-14.3677,-16.4532
0.0607238,2.51358,-13.3747,-16.4532
0.0927504,3.5066,-13.3747,-16.4532
0.068886,4.49962,-13.3747,-16.4532
0.0780597,5.49264,-13.3747,-16.4532
0.0908807,6.48566,-13.3747,-16.4532
0.137671,7.47868,-13.3747,-16.4532
0.202417,8.47169,-13.3747,-16.4532
0.224735,9.46471,-13.3747,-16.4532
0.0355245,2.51358,-12.3817,-16.4532
0.0550907,3.5066,-12.3817,-16.4532
0.0281357,4.49962,-12.3817,-16.4532
0.0660587,5.49264,-12.3817,-16.4532
0.0801456,6.48566,-12.3817,-16.4532
0.154359,7.47868,-12.3817,-16.4532
0.228937,8.47169,-12.3817,-16.4532
0.264905,9.46471,-12.3817,-16.4532
0.171873,7.47868,-11.3887,-16.4532
0.252812,8.47169,-11.3887,-16.4532
0.283069,9.46471,-11.3887,-16.4532
0.163752,7.47868,-10.3957,-16.4532
0.266351,8.47169,-10.3957,-16.4532
0.214029,7.47868,-9.40265,-16.4532
0.237169,7.47868,-8.40963,-16.4532
0.353637,-1.4585,-17.3468,-15.4602
0.29126,-2.45152,-16.3538,-15.4602
0.346273,-1.4585,-16.3538,-15.4602
0.111916,7.47868,-16.3538,-15.4602
0.111441,8.47169,-16.3538,-15.4602
0.0894591,9.46471,-16.3538,-15.4602
0.118736,-3.44454,-15.3608,-15.4602
0.253964,-2.45152,-15.3608,-15.4602
0.111342,6.48566,-15.3608,-15.4602
0.145802,7.47868,-15.3608,-15.4602
0.163402,8.47169,-15.3608,-15.4602
0.171055,9.46471,-15.3608,-15.4602
0.133547,-3.44454,-14.3677,-15.4602
0.216207,-2.45152,-14.3677,-15.4602
0.0999968,4.49962,-14.3677,-15.4602
0.117352,5.49264,-14.3677,-15.4602
0.113335,6.48566,-14.3677,-15.4602
0.143739,7.47868,-14.3677,-15.4602
0.18321,8.47169,-14.3677,-15.4602
0.199966,9.46471,-14.3677,-15.4602
0.227846,10.4577,-14.3677,-15.4602
0.221765,-3.44454,-13.3747,-15.4602
0.120639,-2.45152,-13.3747,-15.4602
0.0749034,2.51358,-13.3747,-15.4602
0.0901933,3.5066,-13.3747,-15.4602
0.0743551,4.49962,-13.3747,-15.4602
0.086568,5.49264,-13.3747,-15.4602
0.10449,6.48566,-13.3747,-15.4602
0.152772,7.47868,-13.3747,-15.4602
0.207354,8.47169,-13.3747,-15.4602
0.233967,9.46471,-13.3747,-15.4602
0.267072,10.4577,-13.3747,-15.4602
0.138056,-2.45152,-12.3817,-15.4602
0.0594386,2.51358,-12.3817,-15.4602
0.0644454,3.5066,-12.3817,-15.4602
0.0362932,4.49962,-12.3817,-15.4602
0.0719894,5.49264,-12.3817,-15.4602
0.0946597,6.48566,-12.3817,-15.4602
0.168965,7.47868,-12.3817,-15.4602
0.232228,8.47169,-12.3817,-15.4602
0.269299,9.46471,-12.3817,-15.4602
0.192575,7.47868,-11.3887,-15.4602
0.262322,8.47169,-11.3887,-15.4602
0.30012,9.46471,-11.3887,-15.4602
0.198319,7.47868,-10.3957,-15.4602
0.273848,8.47169,-10.3957,-15.4602
0.252465,7.47868,-9.40265,-15.4602
0.308728,8.47169,-9.40265,-15.4602
0.261252,7.47868,-8.40963,-15.4602
0.245674,-2.45152,-17.3468,-14.4672
0.309236,-1.4585,-17.3468,-14.4672
0.22694,-3.44454,-16.3538,-14.4672
0.260809,-2.45152,-16.3538,-14.4672
0.308849,-1.4585,-16.3538,-14.4672
0.130346,7.47868,-16.3538,-14.4672
0.134523,8.47169,-16.3538,-14.4672
0.120909,9.46471,-16.3538,-14.4672
0.0817223,10.4577,-16.3538,-14.4672
0.223082,-3.44454,-15.3608,-14.4672
0.2571,-2.45152,-15.3608,-14.4672
0.122636,6.48566,-15.3608,-14.4672
0.152202,7.47868,-15.3608,-14.4672
0.167122,8.47169,-15.3608,-14.4672
0.171461,9.46471,-15.3608,-14.4672
0.16971,10.4577,-15.3608,-14.4672
0.229371,-3.44454,-14.3677,-14.4672
0.236937,-2.45152,-14.3677,-14.4672
0.0947078,4.49962,-14.3677,-14.4672
0.114034,5.49264,-14.3677,-14.4672
0.118445,6.48566,-14.3677,-14.4672
0.148678,7.47868,-14.3677,-14.4672
0.178732,8.47169,-14.3677,-14.4672
0.19348,9.46471,-14.3677,-14.4672
0.203393,10.4577,-14.3677,-14.4672
0.240457,-3.44454,-13.3747,-14.4672
0.174232,-2.45152,-13.3747,-14.4672
0.080106,2.51358,-13.3747,-14.4672
0.0823393,3.5066,-13.3747,-14.4672
0.0740122,4.49962,-13.3747,-14.4672
0.0861743,5.49264,-13.3747,-14.4672
0.106057,6.48566,-13.3747,-14.4672
0.152398,7.47868,-13.3747,-14.4672
0.197017,8.47169,-13.3747,-14.4672
0.220965,9.46471,-13.3747,-14.4672
0.245667,10.4577,-13.3747,-14.4672
0.238454,-3.44454,-12.3817,-14.4672
0.169807,-2.45152,-12.3817,-14.4672
0.0403961,4.49962,-12.3817,-14.4672
0.106249,6.48566,-12.3817,-14.4672
0.173997,7.47868,-12.3817,-14.4672
0.223321,8.47169,-12.3817,-14.4672
0.256045,9.46471,-12.3817,-14.4672
0.294816,10.4577,-12.3817,-14.4672
0.151897,-2.45152,-11.3887,-14.4672
0.21321,7.47868,-11.3887,-14.4672
0.264689,8.47169,-11.3887,-14.4672
0.302015,9.46471,-11.3887,-14.4672
0.226439,7.47868,-10.3957,-14.4672
0.281497,8.47169,-10.3957,-14.4672
0.312544,9.46471,-10.3957,-14.4672
0.259718,7.47868,-9.40265,-14.4672
0.313828,8.47169,-9.40265,-14.4672
0.26621,7.47868,-8.40963,-14.4672
0.244707,6.48566,-7.41661,-14.4672
0.345767,7.47868,-7.41661,-14.4672
0.19425,-3.44454,-17.3468,-13.4742
0.222351,-2.45152,-17.3468,-13.4742
0.256564,-1.4585,-17.3468,-13.4742
0.224641,-0.465477,-17.3468,-13.4742
0.0689061,7.47868,-17.3468,-13.4742
0.0695685,8.47169,-17.3468,-13.4742
0.217521,-3.44454,-16.3538,-13.4742
0.236053,-2.45152,-16.3538,-13.4742
0.25899,-1.4585,-16.3538,-13.4742
0.103018,6.48566,-16.3538,-13.4742
0.14832,7.47868,-16.3538,-13.4742
0.152605,8.47169,-16.3538,-13.4742
0.14625,9.46471,-16.3538,-13.4742
0.121451,10.4577,-16.3538,-13.4742
0.239295,-3.44454,-15.3608,-13.4742
0.246921,-2.45152,-15.3608,-13.4742
0.255431,-1.4585,-15.3608,-13.4742
0.127031,6.48566,-15.3608,-13.4742
0.154486,7.47868,-15.3608,-13.4742
0.165248,8.47169,-15.3608,-13.4742
0.17068,9.46471,-15.3608,-13.4742
0.170346,10.4577,-15.3608,-13.4742
0.250363,-3.44454,-14.3677,-13.4742
0.238268,-2.45152,-14.3677,-13.4742
0.0708315,2.51358,-14.3677,-13.4742
0.0653703,3.5066,-14.3677,-13.4742
0.086,4.49962,-14.3677,-13.4742
0.102367,5.49264,-14.3677,-13.4742
0.116303,6.48566,-14.3677,-13.4742
0.146973,7.47868,-14.3677,-13.4742
0.171031,8.47169,-14.3677,-13.4742
0.183817,9.46471,-14.3677,-13.4742
0.195658,10.4577,-14.3677,-13.4742
0.255572,-3.44454,-13.3747,-13.4742
0.212872,-2.45152,-13.3747,-13.4742
0.0409799,1.52056,-13.3747,-13.4742
0.0708035,2.51358,-13.3747,-13.4742
0.0720006,3.5066,-13.3747,-13.4742
0.0597738,4.49962,-13.3747,-13.4742
0.0783146,5.49264,-13.3747,-13.4742
0.101674,6.48566,-13.3747,-13.4742
0.148034,7.47868,-13.3747,-13.4742
0.186124,8.47169,-13.3747,-13.4742
0.207593,9.46471,-13.3747,-13.4742
0.231446,10.4577,-13.3747,-13.4742
0.269707,-3.44454,-12.3817,-13.4742
0.185913,-2.45152,-12.3817,-13.4742
0.17524,7.47868,-12.3817,-13.4742
0.215036,8.47169,-12.3817,-13.4742
0.243428,9.46471,-12.3817,-13.4742
0.277736,10.4577,-12.3817,-13.4742
0.246386,-3.44454,-11.3887,-13.4742
0.163848,-2.45152,-11.3887,-13.4742
0.226046,7.47868,-11.3887,-13.4742
0.265361,8.47169,-11.3887,-13.4742
0.298274,9.46471,-11.3887,-13.4742
0.34078,10.4577,-11.3887,-13.4742
0.156241,-2.45152,-10.3957,-13.4742
0.235954,7.47868,-10.3957,-13.4742
0.290492,8.47169,-10.3957,-13.4742
0.32966,9.46471,-10.3957,-13.4742
0.263549,7.47868,-9.40265,-13.4742
0.316799,8.47169,-9.40265,-13.4742
0.261725,7.47868,-8.40963,-13.4742
0.332095,8.47169,-8.40963,-13.4742
0.356565,7.47868,-7.41661,-13.4742
0.225164,-2.45152,-18.3398,-12.4811
0.241118,-1.4585,-18.3398,-12.4811
0.196839,-0.465477,-18.3398,-12.4811
0.186536,-3.44454,-17.3468,-12.4811
0.215623,-2.45152,-17.3468,-12.4811
0.227504,-1.4585,-17.3468,-12.4811
0.186165,-0.465477,-17.3468,-12.4811
0.0625549,6.48566,-17.3468,-12.4811
0.117542,7.47868,-17.3468,-12.4811
0.11961,8.47169,-17.3468,-12.4811
0.114369,9.46471,-17.3468,-12.4811
0.219124,-4.43756,-16.3538,-12.4811
0.21398,-3.44454,-16.3538,-12.4811
0.228181,-2.45152,-16.3538,-12.4811
0.218576,-1.4585,-16.3538,-12.4811
0.110989,6.48566,-16.3538,-12.4811
0.151174,7.47868,-16.3538,-12.4811
0.154937,8.47169,-16.3538,-12.4811
0.155231,9.46471,-16.3538,-12.4811
0.147086,10.4577,-16.3538,-12.4811
0.263979,-4.43756,-15.3608,-12.4811
0.240222,-3.44454,-15.3608,-12.4811
0.244007,-2.45152,-15.3608,-12.4811
0.208371,-1.4585,-15.3608,-12.4811
0.0993443,5.49264,-15.3608,-12.4811
0.117939,6.48566,-15.3608,-12.4811
0.144373,7.47868,-15.3608,-12.4811
0.153869,8.47169,-15.3608,-12.4811
0.162721,9.46471,-15.3608,-12.4811
0.170962,10.4577,-15.3608,-12.4811
0.144002,11.4508,-15.3608,-12.4811
0.312126,-4.43756,-14.3677,-12.4811
0.259938,-3.44454,-14.3677,-12.4811
0.246104,-2.45152,-14.3677,-12.4811
0.0604819,1.52056,-14.3677,-12.4811
0.0652849,2.51358,-14.3677,-12.4811
0.059692,3.5066,-14.3677,-12.4811
0.0701463,4.49962,-14.3677,-12.4811
0.083201,5.49264,-14.3677,-12.4811
0.102908,6.48566,-14.3677,-12.4811
0.133335,7.47868,-14.3677,-12.4811
0.154756,8.47169,-14.3677,-12.4811
0.169367,9.46471,-14.3677,-12.4811
0.188093,10.4577,-14.3677,-12.4811
0.176494,11.4508,-14.3677,-12.4811
0.352955,-4.43756,-13.3747,-12.4811
0.268121,-3.44454,-13.3747,-12.4811
0.236321,-2.45152,-13.3747,-12.4811
0.0497364,1.52056,-13.3747,-12.4811
0.0620228,2.51358,-13.3747,-12.4811
0.0535371,3.5066,-13.3747,-12.4811
0.0408641,4.49962,-13.3747,-12.4811
0.0669338,5.49264,-13.3747,-12.4811
0.0969793,6.48566,-13.3747,-12.4811
0.139976,7.47868,-13.3747,-12.4811
0.17289,8.47169,-13.3747,-12.4811
0.19331,9.46471,-13.3747,-12.4811
0.220145,10.4577,-13.3747,-12.4811
0.286205,-3.44454,-12.3817,-12.4811
0.216169,-2.45152,-12.3817,-12.4811
0.180352,7.47868,-12.3817,-12.4811
0.20836,8.47169,-12.3817,-12.4811
0.233576,9.46471,-12.3817,-12.4811
0.266351,10.4577,-12.3817,-12.4811
0.279333,-3.44454,-11.3887,-12.4811
0.184745,-2.45152,-11.3887,-12.4811
0.241555,7.47868,-11.3887,-12.4811
0.259336,8.47169,-11.3887,-12.4811
0.288483,9.46471,-11.3887,-12.4811
0.324464,10.4577,-11.3887,-12.4811
0.15026,-2.45152,-10.3957,-12.4811
0.24198,7.47868,-10.3957,-12.4811
0.285636,8.47169,-10.3957,-12.4811
0.31524,9.46471,-10.3957,-12.4811
0.0487544,-2.45152,-9.40265,-12.4811
0.251092,7.47868,-9.40265,-12.4811
0.29742,8.47169,-9.40265,-12.4811
0.337121,9.46471,-9.40265,-12.4811
0.222093,7.47868,-8.40963,-12.4811
0.283021,8.47169,-8.40963,-12.4811
0.194109,7.47868,-7.41661,-12.4811
0.158023,-2.45152,-18.3398,-11.4881
0.165599,-1.4585,-18.3398,-11.4881
0.163989,-0.465477,-18.3398,-11.4881
0.173721,-3.44454,-17.3468,-11.4881
0.195806,-2.45152,-17.3468,-11.4881
0.193307,-1.4585,-17.3468,-11.4881
0.166914,-0.465477,-17.3468,-11.4881
0.073159,6.48566,-17.3468,-11.4881
0.12114,7.47868,-17.3468,-11.4881
0.127338,8.47169,-17.3468,-11.4881
0.14,9.46471,-17.3468,-11.4881
0.148524,10.4577,-17.3468,-11.4881
0.191525,-4.43756,-16.3538,-11.4881
0.2072,-3.44454,-16.3538,-11.4881
0.211657,-2.45152,-16.3538,-11.4881
0.193524,-1.4585,-16.3538,-11.4881
0.111849,-0.465477,-16.3538,-11.4881
0.0982009,6.48566,-16.3538,-11.4881
0.130553,7.47868,-16.3538,-11.4881
0.139853,8.47169,-16.3538,-11.4881
0.15105,9.46471,-16.3538,-11.4881
0.165177,10.4577,-16.3538,-11.4881
0.22667,-4.43756,-15.3608,-11.4881
0.229465,-3.44454,-15.3608,-11.4881
0.22296,-2.45152,-15.3608,-11.4881
0.183338,-1.4585,-15.3608,-11.4881
0.100379,-0.465477,-15.3608,-11.4881
0.0745777,5.49264,-15.3608,-11.4881
0.0932923,6.48566,-15.3608,-11.4881
0.119209,7.47868,-15.3608,-11.4881
0.132712,8.47169,-15.3608,-11.4881
0.147318,9.46471,-15.3608,-11.4881
0.166727,10.4577,-15.3608,-11.4881
0.172981,11.4508,-15.3608,-11.4881
0.261405,-4.43756,-14.3677,-11.4881
0.248474,-3.44454,-14.3677,-11.4881
0.233631,-2.45152,-14.3677,-11.4881
0.179295,-1.4585,-14.3677,-11.4881
0.0490516,1.52056,-14.3677,-11.4881
0.0501463,2.51358,-14.3677,-11.4881
0.0339461,3.5066,-14.3677,-11.4881
0.0475997,4.49962,-14.3677,-11.4881
0.0610552,5.49264,-14.3677,-11.4881
0.0832533,6.48566,-14.3677,-11.4881
0.110251,7.47868,-14.3677,-11.4881
0.134662,8.47169,-14.3677,-11.4881
0.151921,9.46471,-14.3677,-11.4881
0.176539,10.4577,-14.3677,-11.4881
0.187612,11.4508,-14.3677,-11.4881
0.286332,-4.43756,-13.3747,-11.4881
0.260556,-3.44454,-13.3747,-11.4881
0.241309,-2.45152,-13.3747,-11.4881
0.0464685,1.52056,-13.3747,-11.4881
0.0469174,2.51358,-13.3747,-11.4881
0.0344376,3.5066,-13.3747,-11.4881
0.0421627,4.49962,-13.3747,-11.4881
0.0583402,5.49264,-13.3747,-11.4881
0.0924496,6.48566,-13.3747,-11.4881
0.125251,7.47868,-13.3747,-11.4881
0.159809,8.47169,-13.3747,-11.4881
0.176206,9.46471,-13.3747,-11.4881
0.200916,10.4577,-13.3747,-11.4881
0.196894,11.4508,-13.3747,-11.4881
0.320947,-4.43756,-12.3817,-11.4881
0.284791,-3.44454,-12.3817,-11.4881
0.242221,-2.45152,-12.3817,-11.4881
0.172837,7.47868,-12.3817,-11.4881
0.206142,8.47169,-12.3817,-11.4881
0.223948,9.46471,-12.3817,-11.4881
0.251118,10.4577,-12.3817,-11.4881
0.299183,-3.44454,-11.3887,-11.4881
0.207871,-2.45152,-11.3887,-11.4881
0.241254,7.47868,-11.3887,-11.4881
0.252877,8.47169,-11.3887,-11.4881
0.277922,9.46471,-11.3887,-11.4881
0.302535,10.4577,-11.3887,-11.4881
0.305277,-3.44454,-10.3957,-11.4881
0.142749,-2.45152,-10.3957,-11.4881
0.235219,7.47868,-10.3957,-11.4881
0.27913,8.47169,-10.3957,-11.4881
0.310082,9.46471,-10.3957,-11.4881
0.338396,10.4577,-10.3957,-11.4881
0.0704553,-2.45152,-9.40265,-11.4881
0.21307,7.47868,-9.40265,-11.4881
0.293344,8.47169,-9.40265,-11.4881
0.331369,9.46471,-9.40265,-11.4881
0.17434,7.47868,-8.40963,-11.4881
0.273988,8.47169,-8.40963,-11.4881
0.123238,7.47868,-7.41661,-11.4881
0.127743,-3.44454,-18.3398,-10.4951
0.165727,-2.45152,-18.3398,-10.4951
0.172182,-1.4585,-18.3398,-10.4951
0.173425,-0.465477,-18.3398,-10.4951
0.173685,-4.43756,-17.3468,-10.4951
0.1886,-3.44454,-17.3468,-10.4951
0.194735,-2.45152,-17.3468,-10.4951
0.188776,-1.4585,-17.3468,-10.4951
0.161642,-0.465477,-17.3468,-10.4951
0.130864,7.47868,-17.3468,-10.4951
0.140509,8.47169,-17.3468,-10.4951
0.158505,9.46471,-17.3468,-10.4951
0.175751,10.4577,-17.3468,-10.4951
0.21148,-4.43756,-16.3538,-10.4951
0.209974,-3.44454,-16.3538,-10.4951
0.200382,-2.45152,-16.3538,-10.4951
0.180641,-1.4585,-16.3538,-10.4951
0.119894,-0.465477,-16.3538,-10.4951
0.0904061,6.48566,-16.3538,-10.4951
0.121475,7.47868,-16.3538,-10.4951
0.133358,8.47169,-16.3538,-10.4951
0.147719,9.46471,-16.3538,-10.4951
0.168637,10.4577,-16.3538,-10.4951
0.180169,11.4508,-16.3538,-10.4951
0.228234,-4.43756,-15.3608,-10.4951
0.22712,-3.44454,-15.3608,-10.4951
0.208936,-2.45152,-15.3608,-10.4951
0.171789,-1.4585,-15.3608,-10.4951
0.110604,-0.465477,-15.3608,-10.4951
0.0741077,0.527542,-15.3608,-10.4951
0.0551891,4.49962,-15.3608,-10.4951
0.0558958,5.49264,-15.3608,-10.4951
0.0777518,6.48566,-15.3608,-10.4951
0.104614,7.47868,-15.3608,-10.4951
0.120968,8.47169,-15.3608,-10.4951
0.139008,9.46471,-15.3608,-10.4951
0.162,10.4577,-15.3608,-10.4951
0.172547,11.4508,-15.3608,-10.4951
0.248482,-4.43756,-14.3677,-10.4951
0.244332,-3.44454,-14.3677,-10.4951
0.224118,-2.45152,-14.3677,-10.4951
0.171013,-1.4585,-14.3677,-10.4951
0.0983399,-0.465477,-14.3677,-10.4951
0.0540727,0.527542,-14.3677,-10.4951
0.045746,1.52056,-14.3677,-10.4951
0.0296606,2.51358,-14.3677,-10.4951
0.00906175,3.5066,-14.3677,-10.4951
0.0315544,4.49962,-14.3677,-10.4951
0.0420958,5.49264,-14.3677,-10.4951
0.0672136,6.48566,-14.3677,-10.4951
0.0947799,7.47868,-14.3677,-10.4951
0.119925,8.47169,-14.3677,-10.4951
0.139992,9.46471,-14.3677,-10.4951
0.165197,10.4577,-14.3677,-10.4951
0.177637,11.4508,-14.3677,-10.4951
0.259796,-4.43756,-13.3747,-10.4951
0.259147,-3.44454,-13.3747,-10.4951
0.240643,-2.45152,-13.3747,-10.4951
0.169089,-1.4585,-13.3747,-10.4951
0.0555722,1.52056,-13.3747,-10.4951
0.0221358,2.51358,-13.3747,-10.4951
0.0169687,4.49962,-13.3747,-10.4951
0.106933,7.47868,-13.3747,-10.4951
0.14433,8.47169,-13.3747,-10.4951
0.164562,9.46471,-13.3747,-10.4951
0.189736,10.4577,-13.3747,-10.4951
0.191601,11.4508,-13.3747,-10.4951
0.29419,-4.43756,-12.3817,-10.4951
0.293256,-3.44454,-12.3817,-10.4951
0.266103,-2.45152,-12.3817,-10.4951
0.201248,8.47169,-12.3817,-10.4951
0.218373,9.46471,-12.3817,-10.4951
0.243989,10.4577,-12.3817,-10.4951
0.233148,11.4508,-12.3817,-10.4951
0.346881,-4.43756,-11.3887,-10.4951
0.311367,-3.44454,-11.3887,-10.4951
0.245813,-2.45152,-11.3887,-10.4951
0.253876,8.47169,-11.3887,-10.4951
0.272429,9.46471,-11.3887,-10.4951
0.294925,10.4577,-11.3887,-10.4951
0.306185,-3.44454,-10.3957,-10.4951
0.21007,-2.45152,-10.3957,-10.4951
0.259125,8.47169,-10.3957,-10.4951
0.305979,9.46471,-10.3957,-10.4951
0.342293,10.4577,-10.3957,-10.4951
0.306692,-3.44454,-9.40265,-10.4951
0.122265,-2.45152,-9.40265,-10.4951
0.27357,8.47169,-9.40265,-10.4951
0.327889,9.46471,-9.40265,-10.4951
0.0624826,-2.45152,-8.40963,-10.4951
0.249881,8.47169,-8.40963,-10.4951
0.331972,9.46471,-8.40963,-10.4951
0.0754315,7.47868,-7.41661,-10.4951
0.249258,8.47169,-7.41661,-10.4951
0.127503,-2.45152,-19.3328,-9.50208
0.132188,-1.4585,-19.3328,-9.50208
0.122182,-0.465477,-19.3328,-9.50208
0.0608356,0.527542,-19.3328,-9.50208
0.132494,-4.43756,-18.3398,-9.50208
0.173123,-3.44454,-18.3398,-9.50208
0.186813,-2.45152,-18.3398,-9.50208
0.186984,-1.4585,-18.3398,-9.50208
0.187318,-0.465477,-18.3398,-9.50208
0.132644,0.527542,-18.3398,-9.50208
0.120633,7.47868,-18.3398,-9.50208
0.121172,8.47169,-18.3398,-9.50208
0.153693,9.46471,-18.3398,-9.50208
0.206674,-4.43756,-17.3468,-9.50208
0.209402,-3.44454,-17.3468,-9.50208
0.19952,-2.45152,-17.3468,-9.50208
0.184563,-1.4585,-17.3468,-9.50208
0.159667,-0.465477,-17.3468,-9.50208
0.0841324,6.48566,-17.3468,-9.50208
0.136237,7.47868,-17.3468,-9.50208
0.149947,8.47169,-17.3468,-9.50208
0.168536,9.46471,-17.3468,-9.50208
0.192493,10.4577,-17.3468,-9.50208
0.195164,11.4508,-17.3468,-9.50208
0.231747,-4.43756,-16.3538,-9.50208
0.218749,-3.44454,-16.3538,-9.50208
0.197695,-2.45152,-16.3538,-9.50208
0.170411,-1.4585,-16.3538,-9.50208
0.128516,-0.465477,-16.3538,-9.50208
0.0877539,6.48566,-16.3538,-9.50208
0.119776,7.47868,-16.3538,-9.50208
0.136239,8.47169,-16.3538,-9.50208
0.154507,9.46471,-16.3538,-9.50208
0.179897,10.4577,-16.3538,-9.50208
0.195879,11.4508,-16.3538,-9.50208
0.242399,-4.43756,-15.3608,-9.50208
0.226178,-3.44454,-15.3608,-9.50208
0.198258,-2.45152,-15.3608,-9.50208
0.156982,-1.4585,-15.3608,-9.50208
0.112602,-0.465477,-15.3608,-9.50208
0.0755783,0.527542,-15.3608,-9.50208
0.0447214,4.49962,-15.3608,-9.50208
0.0487748,5.49264,-15.3608,-9.50208
0.0722714,6.48566,-15.3608,-9.50208
0.101853,7.47868,-15.3608,-9.50208
0.12291,8.47169,-15.3608,-9.50208
0.144731,9.46471,-15.3608,-9.50208
0.170363,10.4577,-15.3608,-9.50208
0.185361,11.4508,-15.3608,-9.50208
0.150911,-5.43057,-14.3677,-9.50208
0.253009,-4.43756,-14.3677,-9.50208
0.238414,-3.44454,-14.3677,-9.50208
0.209547,-2.45152,-14.3677,-9.50208
0.153799,-1.4585,-14.3677,-9.50208
0.0984486,-0.465477,-14.3677,-9.50208
0.0591189,0.527542,-14.3677,-9.50208
0.0401455,1.52056,-14.3677,-9.50208
0.0151069,2.51358,-14.3677,-9.50208
-0.00230515,3.5066,-14.3677,-9.50208
0.0269094,4.49962,-14.3677,-9.50208
0.0342946,5.49264,-14.3677,-9.50208
0.0600088,6.48566,-14.3677,-9.50208
0.0887584,7.47868,-14.3677,-9.50208
0.117366,8.47169,-14.3677,-9.50208
0.143439,9.46471,-14.3677,-9.50208
0.170292,10.4577,-14.3677,-9.50208
0.184366,11.4508,-14.3677,-9.50208
0.269433,-4.43756,-13.3747,-9.50208
0.262421,-3.44454,-13.3747,-9.50208
0.236992,-2.45152,-13.3747,-9.50208
0.164929,-1.4585,-13.3747,-9.50208
0.058217,1.52056,-13.3747,-9.50208
0.022044,4.49962,-13.3747,-9.50208
0.0479392,5.49264,-13.3747,-9.50208
0.0896069,7.47868,-13.3747,-9.50208
0.133537,8.47169,-13.3747,-9.50208
0.161443,9.46471,-13.3747,-9.50208
0.18689,10.4577,-13.3747,-9.50208
0.1893,11.4508,-13.3747,-9.50208
0.297897,-4.43756,-12.3817,-9.50208
0.302765,-3.44454,-12.3817,-9.50208
0.28188,-2.45152,-12.3817,-9.50208
0.17193,8.47169,-12.3817,-9.50208
0.200916,9.46471,-12.3817,-9.50208
0.229654,10.4577,-12.3817,-9.50208
0.220866,11.4508,-12.3817,-9.50208
0.345049,-4.43756,-11.3887,-9.50208
0.336909,-3.44454,-11.3887,-9.50208
0.282938,-2.45152,-11.3887,-9.50208
0.208985,8.47169,-11.3887,-9.50208
0.250852,9.46471,-11.3887,-9.50208
0.285377,10.4577,-11.3887,-9.50208
0.253895,11.4508,-11.3887,-9.50208
0.419515,-4.43756,-10.3957,-9.50208
0.343142,-3.44454,-10.3957,-9.50208
0.267448,-2.45152,-10.3957,-9.50208
0.295624,9.46471,-10.3957,-9.50208
0.340237,10.4577,-10.3957,-9.50208
0.371246,-3.44454,-9.40265,-9.50208
0.186992,-2.45152,-9.40265,-9.50208
0.23946,8.47169,-9.40265,-9.50208
0.326462,9.46471,-9.40265,-9.50208
0.379824,10.4577,-9.40265,-9.50208
0.149188,-2.45152,-8.40963,-9.50208
0.235734,8.47169,-8.40963,-9.50208
0.32632,9.46471,-8.40963,-9.50208
0.232923,8.47169,-7.41661,-9.50208
0.149657,-2.45152,-19.3328,-8.50906
0.149057,-1.4585,-19.3328,-8.50906
0.144924,-0.465477,-19.3328,-8.50906
0.168723,-4.43756,-18.3398,-8.50906
0.18585,-3.44454,-18.3398,-8.50906
0.189121,-2.45152,-18.3398,-8.50906
0.18571,-1.4585,-18.3398,-8.50906
0.185769,-0.465477,-18.3398,-8.50906
0.162361,0.527542,-18.3398,-8.50906
0.108835,7.47868,-18.3398,-8.50906
0.118468,8.47169,-18.3398,-8.50906
0.131071,9.46471,-18.3398,-8.50906
0.220698,-4.43756,-17.3468,-8.50906
0.210278,-3.44454,-17.3468,-8.50906
